代码 / Code,名称 / Name,类 / Category,注释 /Notes
P55/59,水利、水电工程,P,工业与民用建筑部分入P30/39。
P60/64,电力、核工业工程,P,工业与民用建筑部分入P30/39。
P65/69,交通运输工程,P,工业与民用建筑部分入P30/39。
P70/79,原材料工业及通信、广播工程,P,工业与民用建筑部分入P30/39。
P80/84,机电制造业工程,P,工业与民用建筑部分入P30/39。
P85/89,农林业及轻纺工业工程,P,工业与民用建筑部分入P30/39。
P90/94,工业设备安装工程,P,
P95/99,施工机械设备,P,
Q00/09,建材综合,Q,
Q10/29,建材产品,Q,金属材料入H类，木材入B68/71，竹材入B67。
Q30/39,陶瓷、玻璃,Q,日用陶瓷、玻璃制品入Y20/24。
Q40/49,耐火材料,Q,
Q50/59,炭素材料,Q,
Q60/69,其他非金属矿制品,Q,研磨材料入J43。
Q70/79,建筑构配件与设备,Q,
Q80/89,公用与市政建设器材设备,Q,
Q90/99,建材机械与设备,Q,窑炉、熔炉入各有关建材设备类目。建筑塑料制品用机械入G95。
R00/09,公路、水路运输综合,R,
R10/19,公路运输,R,
R20/29,水路运输,R,
R30/39,船舶维护与修理,R,船舶维护与修理用工艺、工装分别入下列各有关类目。
R40/49,港口装卸,R,
R50/59,救助打捞与潜水,R,
R60/69,航道与航标,R,
R80/89,交通管理,R,
S00/09,铁路综合,S,
S10/29,铁路建筑设备,S,
S30/39,机车车辆通用标准,S,机车车辆通用的基础与方法标准，车钩与缓冲装置，制动系统，走行部分，牵引电气设备，机车车辆通用零部件，以及机车车辆制造、检修工艺与设备等。
S40/49,机车,S,
S50/59,铁路车辆,S,
S60/69,铁路信号,S,
S70/79,铁路通信,S,
S80/84,牵引供电,S,
S90/99,铁路运输,S,
T00/09,车辆综合,T,
T10/19,汽车发动机,T,内燃机通用的零部件及试验方法等入J90/96。
T20/29,汽车底盘与车身,T,
T30/34,车辆通用零部件,T,
T35/39,车用电子、电气设备与仪表,T,
T40/49,汽车,T,
T50/59,专用汽车,T,
T60/69,拖拉机,T,
T70/79,挂车,T,
T80/89,摩托车,T,
T90/99,无轨电车与其他车辆,T,
U00/09,船舶综合,U,
U10/19,船舶总体,U,
U20/29,舾装设备,U,
U30/39,船舶专用装备,U,
U40/49,船用主辅机,U,
U50/59,船舶管路附件,U,
U60/69,船舶电气、观通、导航设备,U,
U80/89,船舶制造工艺装备,U,
U90/99,造船专用工艺设备,U,
V00/09,航空、航天综合,V,
V10/19,航空、航天材料与工艺,V,通用金属材料入H类，通用非金属材料入G类和Q类各有关类目。
V20/29,航空器与航天器零部件,V,通用机械零部件入J10/29，橡胶密封件入G43。
V30/34,航空发动机及其附件,V,
V35/49,航空器及其附件,V,
V50/59,航空运输与地面设备,V,
V70/79,航天器及其附件,V,
V80/89,航天地面设备,V,
V90/99,航空器与航天器制造用设备,V,通用工艺装备入J40/49。
W00/09,纺织综合,W,
W10/19,棉纺织,W,
W20/29,毛纺织,W,
W30/39,麻纺织,W,
W40/49,丝纺织,W,
W50/54,化学纤维,W,玻璃纤维入Q36。
W55/59,纺织制品,W,
W60/69,针织,W,
W70/79,印染制品,W,
W90/99,纺织机械与器具,W,
X00/09,食品综合,X,
X10/29,食品加工与制品,X,
X30/34,制糖与糖制品,X,
X35/39,制盐,X,
X40/49,食品添加剂与食用香料,X,食品卫生入C53，食品添加剂卫生入C54。
X50/59,饮料,X,
X60/69,食品发酵、酿造,X,
X70/79,罐头,X,
X80/84,特种食品,X,
X85/89,制烟,X,
X90/99,食品加工机械,X,
Y00/09,轻工、文化与生活用品综合,Y,
Y10/19,钟表、自行车、缝纫机,Y,
Y20/29,日用玻璃、陶瓷、搪瓷、塑料制品,Y,
Y30/39,造纸,Y,
Y40/44,日用化工品,Y,
Y45/49,皮革加工与制品,Y,
Y50/59,文教、体育、娱乐用品,Y,
Y60/69,家用电器、日用机具,Y,
Y70/74,五金制品,Y,
Y75/79,服装、鞋、帽与其他缝制品,Y,劳动保护服装、鞋、帽、手套入C73。
Y80/84,家具,Y,
Y85/89,工艺美术品与其他日用品,Y,
Y90/99,轻工机械,Y,
Z00/09,环境保护综合,Z,
Z10/39,环境保护采样、分析测试方法,Z,
Z50/59,环境质量标准,Z,环境卫生标准入G51。
Z60/79,污染物排放标准,Z,
